Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2021,2.7,16444,False,104500.0,11.556951919719207,Furniture,Toyota,Riyadh,4,0,Standard,3288.8,55125.44294826364,16
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,112915,False,49000.0,10.799595985047786,Other,Nissan,Riyadh,9,0,Standard,11291.5,14424.479166666664,81
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,84000,False,120000.0,11.695255355062795,Other,Other,Riyadh,6,0,Premium,12000.0,30116.66666666667,36
H1,Dammam,Hyundai,Automatic,Saudi,Full,2018,2.4,74000,False,77000.0,11.251573687764477,Other,Hyundai,Dammam,7,0,Standard,9250.0,42001.364341085275,49
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,150000,False,47000.0,10.757924157061597,Elantra,Hyundai,Riyadh,9,0,Standard,15000.0,12001.364341085275,81
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2011,5.3,342000,False,55000.0,10.915106645867503,Yukon,GMC,Riyadh,14,0,Standard,22800.0,9063.718411552349,196
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2021,2.7,3000,False,100000.0,11.51293546492023,Furniture,Toyota,Makkah,4,0,Standard,600.0,50625.44294826364,16
Opirus,Yanbu,Kia,Automatic,Saudi,Semi Full,2009,6.0,216000,False,16000.0,9.680406499268875,Other,Kia,Other,16,0,Standard,12705.882352941177,-16269.628099173555,256
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2020,5.3,19348,False,186500.0,12.136191879981927,Yukon,GMC,Riyadh,5,0,Standard,3224.6666666666665,140563.71841155234,25
S,Riyadh,Mercedes,Automatic,Other,Full,2014,3.0,179000,False,169000.0,12.037659911047468,S,Mercedes,Riyadh,11,0,Standard,14916.666666666666,43031.11111111111,121
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,47000,False,29000.0,10.275085591132715,Other,Kia,Riyadh,9,0,Standard,4700.0,-3269.628099173555,81
X-Trail,Dammam,Nissan,Automatic,Saudi,Standard,2006,2.5,238000,False,13000.0,9.472781556562168,Other,Nissan,Dammam,19,0,Standard,11900.0,-21575.520833333336,361
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,90000,False,39000.0,10.571342565808699,Other,Nissan,Riyadh,8,0,Standard,10000.0,4424.479166666664,64
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,4.0,390000,False,52000.0,10.859018228147887,Other,Toyota,Riyadh,17,0,Standard,21666.666666666668,2625.4429482636406,289
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,70000,False,288000.0,12.570719231334277,Range Rover,Land Rover,Riyadh,9,0,Premium,7000.0,99429.48717948719,81
Odyssey,Riyadh,Honda,Automatic,Saudi,Semi Full,2016,3.5,339000,False,40000.0,10.596659732783579,Other,Honda,Riyadh,9,0,Standard,33900.0,-5154.782608695656,81
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2016,5.7,48000,False,150000.0,11.918397239722838,Yukon,GMC,Riyadh,9,0,Standard,4800.0,104063.71841155234,81
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,5.3,176332,False,120000.0,11.695255355062795,Tahoe,Chevrolet,Riyadh,10,0,Standard,16030.181818181818,76136.46532438479,100
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2015,1.6,380000,False,35000.0,10.463131911491967,Sonata,Hyundai,Riyadh,10,0,Standard,34545.454545454544,1.3643410852746456,100
Eado,Dammam,Changan,Automatic,Saudi,Full,2020,1.6,9061,False,50000.0,10.819798284210286,Other,Other,Dammam,5,0,Standard,1510.1666666666667,17569.444444444445,25
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.5,174000,False,77000.0,11.251573687764477,Other,Toyota,Jeddah,8,0,Standard,19333.333333333332,27625.44294826364,64
Land Cruiser,Jazan,Toyota,Automatic,Saudi,Full,2020,4.6,21000,False,275000.0,12.524530013005734,Land Cruiser,Toyota,Other,5,0,Standard,3500.0,225625.44294826363,25
Range Rover,Tabouk,Land Rover,Automatic,Saudi,Full,2006,5.0,300000,False,25000.0,10.12667110305036,Range Rover,Land Rover,Tabouk,19,0,Premium,15000.0,-163570.5128205128,361
EC7,Taef,Geely,Automatic,Saudi,Full,2016,1.8,42420,False,35000.0,10.463131911491967,Other,Other,Taef,9,0,Standard,4242.0,895.8333333333358,81
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2019,1.6,78000,False,28000.0,10.239995502805316,Other,Other,Riyadh,6,0,Standard,11142.857142857143,8250.0,36
Camry,Dammam,Toyota,Automatic,Saudi,Semi Full,2010,2.5,240000,False,30000.0,10.308985993422082,Camry,Toyota,Dammam,15,0,Standard,15000.0,-19374.55705173636,225
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.4,72000,False,60000.0,11.002116507732017,Sonata,Hyundai,Jeddah,6,0,Standard,10285.714285714286,25001.364341085275,36
Taurus,Jeddah,Ford,Automatic,Other,Semi Full,2010,3.5,406593,False,19000.0,9.852246888342531,Taurus,Ford,Jeddah,15,0,Standard,25412.0625,-18644.53728489484,225
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,314000,False,46000.0,10.736418414365376,Camry,Toyota,Dammam,8,0,Standard,34888.88888888889,-3374.5570517363594,64
The 3,Khobar,BMW,Automatic,Saudi,Full,2017,1.4,110000,False,75000.0,11.225256725762893,Other,BMW,Other,8,0,Premium,12222.222222222223,-34076.28865979382,64
Sierra,Dammam,GMC,Automatic,Gulf Arabic,Standard,2013,5.3,248000,False,63000.0,11.050905878263567,Other,GMC,Dammam,12,0,Standard,19076.923076923078,17063.71841155235,144
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,4.0,94000,False,125000.0,11.736077016252437,Patrol,Nissan,Dammam,9,0,Standard,9400.0,90424.47916666666,81
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,5.4,81000,False,88000.0,11.385103457032141,Expedition,Ford,Riyadh,9,0,Standard,8100.0,50355.46271510516,81
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2017,3.5,65400,False,58000.0,10.968215530759236,Other,Mitsubishi,Riyadh,8,0,Standard,7266.666666666667,16268.817204301078,64
Accord,Taef,Honda,Automatic,Saudi,Semi Full,2018,2.4,119041,False,70000.0,11.156264806643742,Accord,Honda,Taef,7,0,Standard,14880.125,24845.217391304344,49
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Standard,2012,2.7,171000,False,47500.0,10.768506042432708,Hilux,Toyota,Riyadh,13,0,Standard,12214.285714285714,-1874.5570517363594,169
Yukon,Tabouk,GMC,Automatic,Saudi,Full,2010,6.2,256,False,30000.0,10.308985993422082,Yukon,GMC,Tabouk,15,0,Standard,16.0,-15936.281588447651,225
Accord,Tabouk,Honda,Automatic,Saudi,Full,2012,3.5,300,False,36000.0,10.491301994830229,Accord,Honda,Tabouk,13,0,Standard,21.428571428571427,-9154.782608695656,169
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2016,5.3,170000,False,100000.0,11.51293546492023,Suburban,Chevrolet,Dammam,9,0,Standard,17000.0,56136.465324384786,81
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,359000,False,32000.0,10.373522431293592,Other,Kia,Riyadh,10,0,Standard,32636.363636363636,-269.6280991735548,100
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,235575,False,47500.0,10.768506042432708,Sonata,Hyundai,Riyadh,10,0,Standard,21415.909090909092,12501.364341085275,100
IS,Riyadh,Lexus,Automatic,Saudi,Semi Full,2018,3.5,131000,False,166000.0,12.019749091416921,Other,Lexus,Riyadh,7,0,Premium,16375.0,49538.288288288284,49
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2015,2.5,13000,False,51000.0,10.839600519357369,Other,Nissan,Qassim,10,0,Standard,1181.8181818181818,16424.479166666664,100
Eado,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.6,87235,False,42500.0,10.657282884047461,Other,Other,Riyadh,5,0,Standard,14539.166666666666,10069.444444444445,25
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,201000,False,108000.0,11.58989576532275,Prado,Toyota,Riyadh,9,0,Standard,20100.0,58625.44294826364,81
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.5,146000,False,20000.0,9.90353755128617,Sunny,Nissan,Riyadh,9,0,Standard,14600.0,-14575.520833333336,81
Optra,Riyadh,Chevrolet,Automatic,Saudi,Standard,2011,1.6,216000,False,9000.0,9.105090961257085,Other,Chevrolet,Riyadh,14,0,Standard,14400.0,-34863.534675615214,196
3008,Makkah,Peugeot,Automatic,Other,Full,2012,1.6,175000,False,20000.0,9.90353755128617,Other,Other,Makkah,13,0,Standard,12500.0,-13937.5,169
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,262000,False,55000.0,10.915106645867503,Taurus,Ford,Riyadh,10,0,Standard,23818.18181818182,17355.46271510516,100
Rio,Riyadh,Kia,Automatic,Gulf Arabic,Standard,2016,1.4,180000,False,28000.0,10.239995502805316,Other,Kia,Riyadh,9,0,Standard,18000.0,-4269.628099173555,81
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,5.7,68534,False,224500.0,12.32163544049751,Land Cruiser,Toyota,Riyadh,9,0,Standard,6853.4,175125.44294826363,81
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,180000,False,135000.0,11.813037464800539,Land Cruiser,Toyota,Dammam,10,0,Standard,16363.636363636364,85625.44294826363,100
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,16000,False,79000.0,11.277215789596893,Other,Other,Riyadh,5,0,Standard,2666.6666666666665,37507.142857142855,25
C,Dammam,Mercedes,Automatic,Other,Full,2016,2.0,84000,False,129000.0,11.767575435251748,Other,Mercedes,Dammam,9,0,Standard,8400.0,3031.1111111111095,81
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2016,1.6,105000,False,23000.0,10.043292972227004,Other,Other,Riyadh,9,0,Standard,10500.0,3250.0,81
Tucson,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,190000,False,54000.0,10.896757843893464,Other,Hyundai,Riyadh,9,0,Standard,19000.0,19001.364341085275,81
Suburban,Dammam,Chevrolet,Automatic,Saudi,Full,2017,5.3,184000,False,137000.0,11.827743504053695,Suburban,Chevrolet,Dammam,8,0,Standard,20444.444444444445,93136.46532438479,64
Royal,Riyadh,Genesis,Automatic,Saudi,Full,2015,5.0,98000,False,111000.0,11.6172944892629,Other,Other,Riyadh,10,0,Premium,8909.09090909091,21116.66666666667,100
Marquis,Riyadh,Ford,Automatic,Saudi,Semi Full,2009,4.6,300000,False,17000.0,9.741027444837728,Other,Ford,Riyadh,16,0,Standard,17647.058823529413,-20644.53728489484,256
Corolla,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2006,1.8,320000,False,18000.0,9.798182590890704,Corolla,Toyota,Al-Ahsa,19,0,Standard,16000.0,-31374.55705173636,361
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.5,169000,False,44000.0,10.691967639914864,Expedition,Ford,Riyadh,12,0,Standard,13000.0,6355.462715105161,144
Yukon,Makkah,GMC,Automatic,Other,Full,2015,5.3,130000,False,128000.0,11.759793355371237,Yukon,GMC,Makkah,10,0,Standard,11818.181818181818,82063.71841155234,100
Range Rover,Qassim,Land Rover,Automatic,Saudi,Full,2020,2.0,4200,False,290000.0,12.577639650232573,Range Rover,Land Rover,Qassim,5,0,Premium,700.0,101429.48717948719,25
Silverado,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2010,5.3,228,False,29000.0,10.275085591132715,Other,Chevrolet,Riyadh,15,0,Standard,14.25,-14863.534675615214,225
Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,120000,False,18000.0,9.798182590890704,Other,Chevrolet,Taef,12,0,Standard,9230.76923076923,-25863.534675615214,144
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,3.5,209000,False,50000.0,10.819798284210286,Other,Mitsubishi,Riyadh,9,0,Standard,20900.0,8268.817204301078,81
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.2,201866,False,57000.0,10.950824090522445,Tahoe,Chevrolet,Riyadh,12,0,Standard,15528.153846153846,13136.465324384786,144
Escalade,Khobar,Cadillac,Automatic,Other,Full,2007,6.2,273000,False,39000.0,10.571342565808699,Other,Other,Other,18,0,Premium,14368.421052631578,-51725.80645161291,324
Duster,Dammam,Renault,Automatic,Saudi,Full,2019,1.6,27000,False,54000.0,10.896757843893464,Other,Other,Dammam,6,0,Standard,3857.1428571428573,34250.0,36
Yaris,Aseer,Toyota,Automatic,Saudi,Standard,2017,1.5,250000,False,26000.0,10.165890277802454,Other,Toyota,Aseer,8,0,Standard,27777.777777777777,-23374.55705173636,64
Passat,Jeddah,Volkswagen,Automatic,Gulf Arabic,Full,2015,2.5,90000,False,55000.0,10.915106645867503,Other,Other,Jeddah,10,0,Standard,8181.818181818182,16863.63636363636,100
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,16000,False,72000.0,11.184435286790631,Other,Other,Riyadh,5,0,Standard,2666.6666666666665,30507.142857142855,25
Avalon,Aseer,Toyota,Automatic,Saudi,Full,2013,3.5,169000,False,75000.0,11.225256725762893,Other,Toyota,Aseer,12,0,Standard,13000.0,25625.44294826364,144
NX,Jeddah,Lexus,Automatic,Saudi,Full,2020,2.0,4100,False,170000.0,12.04355959836804,Other,Lexus,Jeddah,5,0,Premium,683.3333333333334,53538.288288288284,25
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,300000,False,49500.0,10.809748150372926,Expedition,Ford,Riyadh,12,0,Standard,23076.923076923078,11855.46271510516,144
Yaris,Al-Medina,Toyota,Automatic,Saudi,Standard,2016,1.5,160,False,26500.0,10.184937747111391,Other,Toyota,Al-Medina,9,0,Standard,16.0,-22874.55705173636,81
Elantra,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,55000,False,60000.0,11.002116507732017,Elantra,Hyundai,Jeddah,6,0,Standard,7857.142857142857,25001.364341085275,36
Fluence,Riyadh,Renault,Automatic,Saudi,Semi Full,2015,1.6,116633,False,25500.0,10.146472946063877,Other,Other,Riyadh,10,0,Standard,10603.0,5750.0,100
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,263000,False,48000.0,10.778977123006351,Expedition,Ford,Riyadh,11,0,Standard,21916.666666666668,10355.46271510516,121
Grand Cherokee,Tabouk,Jeep,Automatic,Gulf Arabic,Full,2013,6.4,136000,False,85000.0,11.350418300109132,Other,Other,Tabouk,12,0,Standard,10461.538461538461,21518.51851851852,144
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.5,25000,False,95000.0,11.461642696843066,Camry,Toyota,Jeddah,5,0,Standard,4166.666666666667,45625.44294826364,25
Panamera,Dammam,Porsche,Automatic,Saudi,Full,2011,3.0,113000,False,99000.0,11.502885230075814,Other,Other,Dammam,14,0,Luxury,7533.333333333333,-20666.66666666667,196
VTC,Dammam,Nissan,Automatic,Saudi,Standard,2016,4.0,112000,False,106000.0,11.571203807011969,Other,Nissan,Dammam,9,0,Standard,11200.0,71424.47916666666,81
C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018,2.0,57000,False,167000.0,12.025755079404917,Other,Mercedes,Dammam,7,0,Standard,7125.0,41031.11111111111,49
Platinum,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,179000,False,82000.0,11.314486721293981,Other,Other,Riyadh,9,0,Premium,17900.0,-7883.3333333333285,81
Yaris,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,1.5,130000,False,30000.0,10.308985993422082,Other,Toyota,Other,9,0,Standard,13000.0,-19374.55705173636,81
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,72418,False,27500.0,10.221977646629885,Sunny,Nissan,Riyadh,6,0,Standard,10345.42857142857,-7075.520833333336,36
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,48511,False,40000.0,10.596659732783579,Accent,Hyundai,Riyadh,6,0,Standard,6930.142857142857,5001.364341085275,36
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,61000,False,77000.0,11.251573687764477,Camry,Toyota,Riyadh,8,0,Standard,6777.777777777777,27625.44294826364,64
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2015,1.3,200000,False,25000.0,10.12667110305036,Other,Toyota,Jeddah,10,0,Standard,18181.81818181818,-24374.55705173636,100
Range Rover,Al-Medina,Land Rover,Automatic,Saudi,Full,2017,3.0,72500,False,295000.0,12.59473402514672,Range Rover,Land Rover,Al-Medina,8,0,Premium,8055.555555555556,106429.48717948719,64
Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2021,1.6,2500,False,207000.0,12.240478903153711,Expedition,Ford,Aseer,4,0,Standard,500.0,169355.46271510515,16
Wrangler,Jazan,Jeep,Automatic,Saudi,Standard,2019,3.6,79000,False,140000.0,11.849404844423074,Other,Other,Other,6,0,Standard,11285.714285714286,76518.51851851851,36
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,False,63000.0,11.050905878263567,Elantra,Hyundai,Jeddah,5,0,Standard,1666.6666666666667,28001.364341085275,25
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.6,197000,False,62000.0,11.034905792929415,Other,Ford,Riyadh,9,0,Standard,19700.0,24355.46271510516,81
Copper,Riyadh,MINI,Manual,Saudi,Full,2018,2.0,59000,False,85000.0,11.350418300109132,Other,Other,Riyadh,7,0,Standard,7375.0,32272.727272727272,49
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2006,4.5,199000,False,77000.0,11.251573687764477,Land Cruiser,Toyota,Dammam,19,0,Standard,9950.0,27625.44294826364,361
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,206000,False,37000.0,10.518700218288165,Tahoe,Chevrolet,Riyadh,14,0,Standard,13733.333333333334,-6863.534675615214,196
Corolla,Riyadh,Toyota,Manual,Saudi,Standard,2005,1.3,801500,False,14000.0,9.546884034617925,Corolla,Toyota,Riyadh,20,0,Standard,38166.666666666664,-35374.55705173636,400
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,131099,False,36500.0,10.505094936455558,Other,Toyota,Jeddah,7,0,Standard,16387.375,-12874.55705173636,49
Wrangler,Makkah,Jeep,Automatic,Saudi,Full,2014,3.6,88000,False,89000.0,11.39640288460621,Other,Other,Makkah,11,0,Standard,7333.333333333333,25518.51851851852,121
Compass,Riyadh,Jeep,Automatic,Saudi,Full,2011,2.4,245000,False,24000.0,10.085850775128717,Other,Other,Riyadh,14,0,Standard,16333.333333333334,-39481.48148148148,196
Accord,Qassim,Honda,Automatic,Saudi,Semi Full,2016,2.4,15000,False,65000.0,11.082157933374816,Accord,Honda,Qassim,9,0,Standard,1500.0,19845.217391304344,81
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,247000,False,55000.0,10.915106645867503,Other,Toyota,Jeddah,8,0,Standard,27444.444444444445,5625.442948263641,64
Tucson,Jeddah,Hyundai,Automatic,Gulf Arabic,Standard,2015,2.0,66000,False,47000.0,10.757924157061597,Other,Hyundai,Jeddah,10,0,Standard,6000.0,12001.364341085275,100
Q5,Jeddah,Audi,Automatic,Saudi,Full,2012,2.0,339,False,31000.0,10.34177474101152,Other,Other,Jeddah,13,0,Premium,24.214285714285715,-52184.21052631579,169
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2015,2.5,130020,False,56500.0,10.942013616092948,Camry,Toyota,Riyadh,10,0,Standard,11820.0,7125.442948263641,100
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,272232,False,26500.0,10.184937747111391,Other,Kia,Riyadh,9,0,Standard,27223.2,-5769.628099173555,81
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,213557,False,63000.0,11.050905878263567,Hilux,Toyota,Dammam,9,0,Standard,21355.7,13625.44294826364,81
CX9,Qassim,Mazda,Automatic,Saudi,Full,2015,2.5,62000,False,76000.0,11.23850177707664,Other,Mazda,Qassim,10,0,Standard,5636.363636363636,28779.527559055117,100
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,100000,False,52000.0,10.859018228147887,Sonata,Hyundai,Riyadh,7,0,Standard,12500.0,17001.364341085275,49
Hiace,Qassim,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,146000,False,55000.0,10.915106645867503,Other,Toyota,Qassim,9,0,Standard,14600.0,5625.442948263641,81
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2020,3.8,11000,False,125000.0,11.736077016252437,Other,Other,Riyadh,5,0,Premium,1833.3333333333333,35116.66666666667,25
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,5.7,222816,False,153500.0,11.941462360646149,Land Cruiser,Toyota,Riyadh,12,0,Standard,17139.69230769231,104125.44294826363,144
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,39000,False,131500.0,11.78676973513378,Prado,Toyota,Riyadh,7,0,Standard,4875.0,82125.44294826363,49
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019,1.5,80000,False,35500.0,10.477316144080852,Other,Toyota,Jeddah,6,0,Standard,11428.57142857143,-13874.55705173636,36
Copper,Riyadh,MINI,Automatic,Gulf Arabic,Full,2016,2.0,42000,False,95000.0,11.461642696843066,Other,Other,Riyadh,9,0,Standard,4200.0,42272.72727272727,81
Sportage,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,46000,False,65000.0,11.082157933374816,Other,Kia,Jeddah,6,0,Standard,6571.428571428572,32730.371900826445,36
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,96341,False,26000.0,10.165890277802454,Sunny,Nissan,Riyadh,6,0,Standard,13763.0,-8575.520833333336,36
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.4,24000,False,120000.0,11.695255355062795,Hilux,Toyota,Riyadh,5,0,Standard,4000.0,70625.44294826363,25
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,13081,False,38000.0,10.545367754151743,Accent,Hyundai,Riyadh,7,0,Standard,1635.125,3001.3643410852746,49
Grand Marquis,Dammam,Mercury,Automatic,Saudi,Semi Full,2011,4.6,300000,False,27000.0,10.203629181337648,Other,Other,Dammam,14,0,Standard,20000.0,10333.333333333332,196
Impala,Qassim,Chevrolet,Manual,Gulf Arabic,Standard,2016,3.0,88000,False,61000.0,11.0186455364637,Other,Chevrolet,Qassim,9,0,Standard,8800.0,17136.465324384786,81
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,82000,False,71000.0,11.170449240431308,Other,Toyota,Riyadh,7,0,Standard,10250.0,21625.44294826364,49
Sorento,Riyadh,Kia,Automatic,Saudi,Full,2016,3.5,93914,False,68500.0,11.134603622683905,Other,Kia,Riyadh,9,0,Standard,9391.4,36230.371900826445,81
Pathfinder,Dammam,Nissan,Automatic,Saudi,Semi Full,2005,3.5,308,False,13000.0,9.472781556562168,Other,Nissan,Dammam,20,0,Standard,14.666666666666666,-21575.520833333336,400
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2020,2.0,132000,False,53000.0,10.87806606028079,Elantra,Hyundai,Dammam,5,0,Standard,22000.0,18001.364341085275,25
UX,Jeddah,Lexus,Automatic,Saudi,Standard,2019,2.0,45000,False,130000.0,11.775297421715827,Other,Lexus,Jeddah,6,0,Premium,6428.571428571428,13538.288288288284,36
LX,Riyadh,Lexus,Automatic,Other,Full,2004,4.7,274000,False,65000.0,11.082157933374816,Other,Lexus,Riyadh,21,0,Premium,12454.545454545454,-51461.711711711716,441
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,3.0,61294,False,76500.0,11.245059091624615,Other,Hyundai,Riyadh,6,0,Standard,8756.285714285714,41501.364341085275,36
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,201000,False,105000.0,11.561725152903833,Suburban,Chevrolet,Dammam,10,0,Standard,18272.727272727272,61136.465324384786,100
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2015,2.4,80000,False,45000.0,10.714439990727769,Sonata,Hyundai,Riyadh,10,0,Standard,7272.727272727273,10001.364341085275,100
CS75,Dammam,Changan,Automatic,Saudi,Full,2020,1.8,11000,False,70000.0,11.156264806643742,Other,Other,Dammam,5,0,Standard,1833.3333333333333,37569.444444444445,25
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2017,5.7,120000,False,225000.0,12.323860125621126,Land Cruiser,Toyota,Jeddah,8,0,Standard,13333.333333333334,175625.44294826363,64
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2017,2.5,173000,False,68000.0,11.127277689932466,Accord,Honda,Riyadh,8,0,Standard,19222.222222222223,22845.217391304344,64
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.4,183000,False,34000.0,10.434145214930487,Camry,Toyota,Dammam,11,0,Standard,15250.0,-15374.55705173636,121
FJ,Taef,Toyota,Automatic,Saudi,Full,2012,4.0,348,False,65000.0,11.082157933374816,Other,Toyota,Taef,13,0,Standard,24.857142857142858,15625.44294826364,169
Victoria,Jeddah,Ford,Automatic,Saudi,Full,2011,1.2,60000,False,55000.0,10.915106645867503,Other,Ford,Jeddah,14,0,Standard,4000.0,17355.46271510516,196
F-Pace,Jeddah,Jaguar,Automatic,Saudi,Full,2018,2.5,70000,False,145000.0,11.884495917930655,Other,Other,Jeddah,7,0,Premium,8750.0,28333.33333333333,49
Tucson,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,72000,False,54000.0,10.896757843893464,Other,Hyundai,Riyadh,9,0,Standard,7200.0,19001.364341085275,81
Coolray,Dammam,Geely,Automatic,Saudi,Semi Full,2020,1.5,280,False,62000.0,11.034905792929415,Other,Other,Dammam,5,0,Standard,46.666666666666664,27895.833333333336,25
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Full,2016,2.1,43000,False,125000.0,11.736077016252437,Other,Mercedes,Jeddah,9,0,Standard,4300.0,-968.8888888888905,81
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2019,4.6,63000,False,252000.0,12.437188334739655,Land Cruiser,Toyota,Dammam,6,0,Standard,9000.0,202625.44294826363,36
C,Jeddah,Mercedes,Automatic,Other,Full,2020,3.0,33000,False,235000.0,12.367345048436391,Other,Mercedes,Jeddah,5,0,Standard,5500.0,109031.11111111111,25
Land Cruiser Pickup,Jubail,Toyota,Manual,Saudi,Semi Full,2015,4.0,260000,False,60000.0,11.002116507732017,Other,Toyota,Other,10,0,Standard,23636.363636363636,10625.44294826364,100
Innova,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,749000,False,46000.0,10.736418414365376,Other,Toyota,Riyadh,10,0,Standard,68090.90909090909,-3374.5570517363594,100
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,171000,False,43000.0,10.668978650219241,Sonata,Hyundai,Riyadh,8,0,Standard,19000.0,8001.364341085275,64
