Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
Land Cruiser Pickup,Qassim,Toyota,Manual,Gulf Arabic,Semi Full,2015,4.0,232,False,65000.0,11.082157933374816,Other,Toyota,Qassim,10,0,Standard,21.09090909090909,15625.44294826364,100
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,52000,False,31000.0,10.34177474101152,Sunny,Nissan,Riyadh,7,0,Standard,6500.0,-3575.5208333333358,49
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,68000,False,35000.0,10.463131911491967,Other,Toyota,Jeddah,7,0,Standard,8500.0,-14374.55705173636,49
Silverado,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2018,8.0,97000,False,83000.0,11.326607934898927,Other,Chevrolet,Dammam,7,0,Standard,12125.0,39136.465324384786,49
Carnival,Dammam,Kia,Automatic,Other,Semi Full,2016,3.3,85000,False,64000.0,11.06665398721974,Other,Kia,Dammam,9,0,Standard,8500.0,31730.371900826445,81
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.0,317000,False,43000.0,10.668978650219241,Furniture,Toyota,Riyadh,15,0,Standard,19812.5,-6374.557051736359,225
Grand Marquis,Jeddah,Mercury,Automatic,Other,Full,2008,4.0,362000,False,19000.0,9.852246888342531,Other,Other,Jeddah,17,0,Standard,20111.11111111111,2333.333333333332,289
The 7,Jeddah,BMW,Automatic,Saudi,Full,2011,2.0,115,False,65000.0,11.082157933374816,Other,BMW,Jeddah,14,0,Premium,7.666666666666667,-44076.28865979382,196
Caprice,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2007,6.0,300,False,15000.0,9.61587214452889,Other,Chevrolet,Riyadh,18,0,Standard,15.789473684210526,-28863.534675615214,324
3,Jeddah,Mazda,Automatic,Saudi,Standard,2018,1.6,105000,False,38000.0,10.545367754151743,Other,Mazda,Jeddah,7,0,Standard,13125.0,-9220.472440944883,49
X7,Riyadh,Geely,Automatic,Saudi,Full,2017,2.4,65000,False,45000.0,10.714439990727769,Other,Other,Riyadh,8,0,Standard,7222.222222222223,10895.833333333336,64
300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2016,3.5,18000,False,86000.0,11.362114203075018,Other,Other,Riyadh,9,0,Standard,1800.0,36620.0,81
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,205000,False,60000.0,11.002116507732017,Other,Mitsubishi,Riyadh,9,0,Standard,20500.0,18268.817204301078,81
E,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018,3.0,86000,False,245000.0,12.409017571151187,Other,Mercedes,Dammam,7,0,Standard,10750.0,119031.11111111111,49
CRV,Dammam,Honda,Automatic,Saudi,Semi Full,2014,2.4,215000,False,50000.0,10.819798284210286,Other,Honda,Dammam,11,0,Standard,17916.666666666668,4845.217391304344,121
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,28000,False,44000.0,10.691967639914864,Corolla,Toyota,Riyadh,8,0,Standard,3111.1111111111113,-5374.557051736359,64
